frame_num	lost_fov	lost_uni	sponza_fov	sponza_uni	san_fov	san_uni
118	37.5399	8.52604	30.8923	1.85916	26.9186	1.21096
119	37.6348	2.46855	35.0451	1.84678	26.6737	1.22311
120	37.731	2.43907	35.3708	1.85562	26.4418	1.24128
121	37.1356	2.45396	31.4564	1.86483	29.2757	1.24087
122	37.4505	2.47407	29.8442	1.88703	39.0562	1.23164
123	37.2711	2.4394	30.0414	1.87824	28.9943	1.2411
124	37.4084	2.4572	29.9627	1.8779	27.3528	1.33168
125	37.6885	2.50344	29.625	1.87901	27.3776	1.34236
126	38.697	2.48326	29.3797	1.85407	28.3456	1.32289
127	40.4171	2.49586	30.0739	1.8773	43.7019	1.22716
128	40.8982	2.50285	29.974	1.85376	43.12	1.23635
129	41.1937	2.51518	33.8491	1.8781	39.7513	1.23636
130	43.0611	2.52227	29.8359	1.87669	30.5127	1.22942
131	42.5129	2.53993	30.068	2.92817	27.539	1.24232
132	41.4032	2.51882	29.9275	2.20961	27.1198	1.23243
133	41.6095	2.5375	31.7061	1.84972	26.8139	1.23438
134	41.5648	2.49352	35.2477	1.87181	27.1182	1.23878
135	39.0137	2.50117	30.562	1.86131	25.9577	1.23783
136	37.6106	2.49208	29.6216	1.86083	33.5706	1.2378
137	37.4474	2.47939	33.3309	1.83708	33.2349	1.23181
138	39.0844	2.51405	29.6482	2.06219	27.7884	1.23677
139	37.8656	2.49808	29.7345	2.05611	26.6694	1.23693
140	39.451	2.47599	29.6112	1.88876	29.0029	1.23447
141	38.4668	2.49997	33.0129	1.79346	28.2315	1.23959
142	38.3166	2.51469	35.6275	1.82999	27.4202	1.235
143	38.7693	2.4766	34.2887	1.81967	27.2587	1.2294
144	46.4796	2.51838	29.8226	1.83532	51.9424	0.796822
145	39.6424	2.49081	31.2926	2.9125	32.6723	0.803006
146	39.5969	2.47434	35.5779	2.89953	29.4612	0.873364
147	39.6944	2.49072	31.6464	1.87231	29.3407	0.971851
148	40.7239	2.5056	30.2819	1.867	28.2975	0.972669
149	40.2221	2.48322	32.3879	1.84283	28.3874	0.974374
150	40.0988	2.49364	32.1638	1.85592	28.4469	1.00482
151	40.3359	2.49807	31.1713	1.86779	27.6661	4.77463
152	41.2752	2.4764	31.5989	2.90425	26.578	4.76692
153	40.4483	2.5149	32.3585	2.87577	27.9896	1.80865
154	40.833	2.48117	32.9378	2.95692	29.9978	1.15831
155	40.7062	2.50111	32.4736	2.97019	27.9308	1.15141
156	40.3736	2.51254	32.0513	2.98044	29.8275	1.15563
157	41.3131	8.52095	32.7199	2.96642	30.1294	1.15364
158	41.8607	3.88327	32.6147	2.95904	29.2306	1.14333
159	44.5285	2.51048	32.7236	2.9614	30.0861	1.15256
160	42.7507	2.48208	32.7801	3.00072	34.7344	1.15491
161	43.0618	2.50686	32.7168	2.98231	28.8115	1.15318
162	43.3352	2.51659	31.7188	2.94743	28.4855	1.14821
163	42.7304	2.50361	31.7292	2.90272	29.608	1.13642
164	42.6148	2.48513	31.7397	2.90931	37.1055	1.14687
165	41.7535	2.48035	31.5017	2.85822	35.9631	1.14422
166	42.8413	2.51644	31.6299	2.86922	27.4302	1.15537
167	41.7991	2.52759	31.4541	2.91322	28.707	1.15432
168	43.209	2.51437	30.6806	2.90987	28.7317	1.15741
169	41.5736	2.13026	31.8643	2.88192	32.5295	1.16086
170	41.053	1.88053	30.9809	2.89186	33.531	1.16595
171	41.045	1.87202	31.5056	2.90903	32.5227	1.16479
172	40.2555	1.89007	31.7334	2.90752	33.5886	3.68706
173	58.9032	1.88893	31.884	2.89726	33.9797	3.74327
174	40.269	1.87626	31.0538	2.85872	33.2993	1.8757
175	39.1559	1.88951	31.624	2.90452	27.3469	1.24971
176	39.0818	1.86717	30.9309	2.89353	27.8788	1.24805
177	38.5316	1.90452	31.1072	2.90801	27.3182	1.24943
178	38.282	1.86908	31.201	3.00838	32.9839	1.2393
179	38.6576	1.91052	30.7293	2.95954	29.047	1.24106
180	38.9272	1.89091	30.5698	2.89786	31.7123	1.24829
181	44.5933	1.90655	30.7596	2.60016	26.5841	1.2483
182	43.0252	1.99636	31.9096	2.29304	26.1374	1.25028
183	42.5156	2.03401	33.1905	2.29183	26.4183	1.24717
184	40.9435	2.05298	36.0359	2.28995	25.8115	1.24952
185	43.9795	2.05702	32.0378	2.30443	27.2006	1.24739
186	42.6196	2.05812	32.1487	2.33221	26.3989	1.24828
187	41.7854	2.10519	30.3916	1.98417	27.0347	1.2454
188	44.7324	2.19703	30.0783	3.13132	29.7132	1.24725
189	44.7754	2.20276	30.5332	3.11191	35.7651	1.24946
190	45.0217	2.30003	30.3791	1.70152	27.2257	1.32116
191	40.9461	2.32738	29.5803	1.67755	27.224	1.31471
192	40.5118	2.32529	29.5382	1.69985	39.55	1.31693
193	39.8315	2.3272	29.704	1.67845	35.9419	4.1319
194	40.6819	2.33229	29.8931	1.68113	26.4471	4.11035
195	40.2534	2.33146	29.7197	1.67711	26.5658	4.14537
196	40.448	2.33722	29.6189	1.68714	26.2719	3.9223
197	40.0538	2.33378	30.7007	1.6948	33.871	3.79217
198	40.1277	2.33039	33.2094	3.00737	26.4688	3.96406
199	40.3337	3.63054	29.92	3.03042	25.7345	4.26963
200	39.9066	8.45318	30.0633	2.97293	26.2866	2.20976
201	40.0224	5.61858	30.0135	3.00006	26.379	1.54812
202	40.193	2.43941	29.6645	2.05315	26.645	1.54518
203	45.5104	2.43483	29.8274	2.06647	36.4047	1.38663
204	60.2959	2.41494	30.0476	2.06406	34.4135	1.38446
